,Perc_probability,worry,flood_experience,perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,perc_risk
65,0.001,0.0,1,0.0,0.16666666666666669,0.33333333333333337,0.0,0.08333333333333331,0.5,0.6666666666666666,0.0,0.0,0.0
66,0.002,0.25,0,0.5,0.0,0.0,0.9166666666666667,0.6666666666666666,1.0,1.0,0.0,0.0,0.001
67,0.0,0.25,1,0.0,0.16666666666666669,0.33333333333333337,0.0,0.0,1.0,1.0,0.0,0.0,0.0
69,0.0,0.0,0,0.25,0.33333333333333337,0.16666666666666669,0.16666666666666669,0.33333333333333337,0.5833333333333334,0.75,0.0,0.0,0.0
70,0.001,0.25,0,0.0,0.41666666666666663,0.08333333333333331,0.6666666666666666,0.5833333333333334,0.75,0.8333333333333333,0.0,0.0,0.0
74,0.0,0.0,0,0.0,0.33333333333333337,0.0,0.5,1.0,0.33333333333333337,1.0,0.0,0.0,0.0
75,0.001,0.0,0,0.0,0.0,0.0,0.41666666666666663,0.5833333333333334,0.75,0.8333333333333333,0.0,0.0,0.0
77,0.0,0.0,0,0.0,0.25,0.25,0.5833333333333334,0.6666666666666666,1.0,1.0,0.0,0.0,0.0
79,0.02,0.25,0,0.25,0.5833333333333334,0.33333333333333337,0.5,0.25,0.9166666666666667,0.8333333333333333,0.0,0.0,0.005
82,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
83,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
84,0.001,0.0,0,0.0,0.0,0.0,0.5,0.33333333333333337,0.9166666666666667,0.9166666666666667,0.0,0.0,0.0
85,0.01,0.25,0,0.25,0.0,0.16666666666666669,0.25,0.33333333333333337,0.9166666666666667,1.0,0.0,1.0,0.0025
86,0.02,0.5,1,0.5,0.0,0.0,0.41666666666666663,0.5,0.8333333333333333,0.8333333333333333,0.0,0.0,0.01
87,0.0,0.0,0,0.0,0.25,0.16666666666666669,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333333,0.0,0.0,0.0
89,0.001,0.5,0,0.0,0.33333333333333337,0.75,0.25,0.41666666666666663,1.0,0.9166666666666667,0.0,0.0,0.0
90,0.0,0.0,1,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,1.0,0.0,0.0,0.0
91,0.01,0.25,0,0.25,0.5,0.0,0.75,0.5833333333333334,1.0,1.0,0.0,0.0,0.0025
92,0.0,0.0,0,0.0,0.5,0.41666666666666663,0.25,0.16666666666666669,0.9166666666666667,0.9166666666666667,0.0,0.0,0.0
94,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
95,0.0,0.0,0,0.0,0.0,0.0,0.5,0.8333333333333333,0.9166666666666667,0.8333333333333333,0.0,0.0,0.0
97,0.005,0.0,0,0.5,0.0,0.0,0.0,0.0,1.0,0.8333333333333333,0.0,0.0,0.0025
98,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.5,0.75,0.0,1.0,0.0
100,0.001,0.0,0,0.25,0.8333333333333333,0.5833333333333334,0.0,0.0,0.41666666666666663,0.75,0.0,0.0,0.00025
103,0.001,0.25,0,1.0,0.5,0.16666666666666669,0.33333333333333337,0.16666666666666669,0.41666666666666663,0.9166666666666667,0.0,0.0,0.001
104,0.01,0.25,1,0.25,0.08333333333333331,0.08333333333333331,0.75,0.75,0.75,0.8333333333333333,0.0,0.0,0.0025
105,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
106,0.001,0.0,0,0.0,0.33333333333333337,0.41666666666666663,0.5833333333333334,0.6666666666666666,0.33333333333333337,0.8333333333333333,0.0,0.0,0.0
108,0.01,0.25,0,0.0,0.5,0.75,0.33333333333333337,0.5,0.5,0.6666666666666666,0.0,0.0,0.0
109,0.001,0.25,1,0.25,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.00025
110,0.0,0.0,1,0.0,0.0,0.08333333333333331,0.0,0.0,0.6666666666666666,0.8333333333333333,0.0,0.0,0.0
111,0.0,0.0,0,0.0,0.5,0.6666666666666666,0.5,0.5,1.0,0.9166666666666667,0.0,0.0,0.0
112,0.0,0.0,0,0.0,0.75,0.41666666666666663,0.75,0.41666666666666663,0.6666666666666666,0.75,0.0,0.0,0.0
113,0.001,0.0,0,0.0,0.0,0.33333333333333337,0.16666666666666669,0.33333333333333337,0.75,0.6666666666666666,0.0,0.0,0.0
114,0.1,0.0,1,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0
115,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0
117,0.0,0.0,0,0.0,0.0,0.08333333333333331,0.33333333333333337,0.5833333333333334,0.75,0.6666666666666666,0.0,0.0,0.0
118,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.6666666666666666,0.0,0.0,0.0
119,0.02,0.25,0,0.0,0.0,0.08333333333333331,0.5,0.41666666666666663,0.9166666666666667,0.9166666666666667,0.0,0.0,0.0
122,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
123,0.001,0.0,1,0.25,0.41666666666666663,0.41666666666666663,0.33333333333333337,0.75,0.8333333333333333,0.6666666666666666,0.0,0.0,0.00025
