,R05_worry,Q18_flood_exp,Q0_age,Q53_income_UK,Q4_home_size_UK,R03_perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,Perc_probability,Level_Education,annual_income,savings_multiplier,house_size,savings,weight_PMT,weight_SN
129,0.25,0,72,3,6,0.0,0.8333333333333333,0.33333333333333337,0.5833333333333334,0.41666666666666663,0.5,0.8333333333333333,0.0,0.0,0.001,3.0,32707.149999999998,0.5,105.57620817843866,16353.574999999999,0.7,0.30000000000000004
131,0.0,0,67,4,5,0.0,0.9166666666666667,0.75,0.5,0.5833333333333334,0.16666666666666669,0.5,0.0,0.0,0.0,3.0,44266.95,4.0,38.38289962825279,177067.8,0.9,0.09999999999999998
132,0.0,0,67,1,5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,18149.3,0.0,38.38289962825279,0.0,0.1,0.9
135,0.0,0,80,4,6,0.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.9166666666666667,0.0,0.0,0.0,4.0,44266.95,4.0,105.57620817843866,177067.8,0.9,0.09999999999999998
139,0.25,0,77,5,6,0.25,0.5833333333333334,0.33333333333333337,0.6666666666666666,0.8333333333333333,0.5833333333333334,0.8333333333333333,0.0,0.0,0.002,4.0,83518.75,4.0,105.57620817843866,334075.0,0.7,0.30000000000000004
140,0.0,1,89,2,1,0.0,0.0,0.0,0.08333333333333331,0.0,0.8333333333333333,0.41666666666666663,0.0,0.0,0.02,3.0,20575.8,4.0,10.687732342007434,82303.2,0.7,0.30000000000000004
141,0.0,0,44,5,5,0.25,0.8333333333333333,0.6666666666666666,0.41666666666666663,0.5,0.5,0.6666666666666666,0.0,0.0,0.001,3.0,83518.75,4.0,38.38289962825279,334075.0,0.7,0.30000000000000004
142,0.25,0,27,2,2,0.75,0.5,0.5833333333333334,0.41666666666666663,0.6666666666666666,0.5833333333333334,0.5833333333333334,1.0,1.0,0.0,3.0,20575.8,0.5,18.58736059479554,10287.9,0.5,0.5
144,0.0,0,46,5,6,0.5,0.16666666666666669,0.0,0.75,0.8333333333333333,1.0,0.75,0.0,0.0,0.0,4.0,83518.75,4.0,105.57620817843866,334075.0,0.3,0.7
146,0.25,0,33,4,98,0.0,0.75,0.5,0.5,0.41666666666666663,0.5,0.5833333333333334,0.0,0.0,0.0,4.0,44266.95,0.0,86.43122676579925,0.0,0.9,0.09999999999999998
147,0.25,0,48,5,4,0.75,0.5,0.41666666666666663,0.25,0.41666666666666663,0.5,0.6666666666666666,0.0,0.0,0.001,3.0,83518.75,4.0,34.85130111524164,334075.0,0.5,0.5
151,0.25,0,44,5,98,0.5,0.16666666666666669,0.08333333333333331,0.33333333333333337,0.5,0.5833333333333334,0.75,0.0,0.0,0.01,3.0,83518.75,0.0,86.43122676579925,0.0,0.5,0.5
158,0.25,1,42,5,2,0.5,0.75,0.75,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,4.0,83518.75,2.0,18.58736059479554,167037.5,0.7,0.30000000000000004
160,0.0,0,73,5,6,0.0,0.5833333333333334,0.5,0.75,0.5,0.33333333333333337,0.5,0.0,0.0,0.001,4.0,83518.75,4.0,105.57620817843866,334075.0,0.9,0.09999999999999998
163,0.0,0,77,1,1,0.0,0.0,0.0,0.8333333333333333,0.75,0.5,0.75,0.0,0.0,0.0,3.0,18149.3,1.0,10.687732342007434,18149.3,0.7,0.30000000000000004
166,0.25,0,23,5,4,0.0,0.6666666666666666,0.5,0.5,0.16666666666666669,0.5833333333333334,0.41666666666666663,1.0,0.0,0.002,3.0,83518.75,4.0,34.85130111524164,334075.0,0.3,0.7
167,0.0,0,61,5,6,0.25,0.0,0.0,0.41666666666666663,0.0,0.8333333333333333,0.8333333333333333,0.0,0.0,0.002,4.0,83518.75,4.0,105.57620817843866,334075.0,0.1,0.9
169,0.25,1,37,4,1,0.5,0.0,0.0,0.16666666666666669,0.5,0.75,0.8333333333333333,0.0,0.0,0.1,4.0,44266.95,0.0,10.687732342007434,0.0,0.5,0.5
171,0.0,0,51,4,6,0.75,0.5,0.33333333333333337,0.25,0.33333333333333337,0.5,0.9166666666666667,0.0,0.0,0.001,2.0,44266.95,4.0,105.57620817843866,177067.8,0.9,0.09999999999999998
172,0.0,1,42,4,98,0.0,0.0,0.0,0.6666666666666666,0.41666666666666663,0.75,0.9166666666666667,0.0,0.0,0.001,2.0,44266.95,0.0,86.43122676579925,0.0,0.9,0.09999999999999998
173,0.25,0,56,5,6,0.0,0.0,0.0,0.25,0.5,0.5833333333333334,0.75,0.0,0.0,0.1,3.0,83518.75,3.0,105.57620817843866,250556.25,0.9,0.09999999999999998
176,0.0,0,55,5,6,0.25,0.5833333333333334,0.25,0.5833333333333334,0.41666666666666663,0.41666666666666663,0.8333333333333333,0.0,0.0,0.0,3.0,83518.75,0.0,105.57620817843866,0.0,0.5,0.5
177,0.0,0,73,5,6,0.0,0.5833333333333334,0.33333333333333337,0.41666666666666663,0.33333333333333337,1.0,0.9166666666666667,0.0,0.0,0.0,2.0,83518.75,4.0,105.57620817843866,334075.0,0.1,0.9
178,0.0,0,32,5,98,0.0,0.0,0.0,0.6666666666666666,0.75,0.8333333333333333,1.0,0.0,0.0,0.0,3.0,83518.75,1.5,86.43122676579925,125278.125,0.3,0.7
180,0.0,0,57,5,6,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,3.0,83518.75,4.0,105.57620817843866,334075.0,0.1,0.9
181,0.0,0,52,4,2,0.0,0.0,0.33333333333333337,0.41666666666666663,0.5,0.75,0.75,0.0,1.0,0.0,2.0,44266.95,0.5,18.58736059479554,22133.475,0.1,0.9
